GENE                CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
KIAA1958              9  115249127  115431677      2       1  173005       1.5469     0.060945
AL445187.1            9  115344059  115344870      2       1  107730      0.20086       0.4204
INIP                  9  115446206  115480516      1       1   87924      0.95496       0.1698
ZNF883                9  115759400  115812323      1       1  172750    -0.075773       0.5302
ZFP37                 9  115800660  115819039      3       2  129488     0.021194      0.49155
SLC31A2               9  115913222  115926417     60      22  150805      -1.8619      0.96869
FKBP15                9  115923286  115983641      2       1  107730      -1.1785      0.88069
SLC31A1               9  115983808  116028674      6       4  159703     -0.44517       0.6719
WDR31                 9  116075502  116102578      9       3  166396     -0.64933      0.74194
BSPRY                 9  116111821  116133513      1       1  142800    -0.093634       0.5373
HDHD3                 9  116135699  116139279      7       3  150437      -1.7344      0.95857
RGS3                  9  116207011  116360018     20       7  168751      0.34675      0.36439
AL162727.1            9  116381508  116384914      2       1  169200       1.8387      0.03298
ZNF618                9  116638562  116818871      3       2  159253      0.84632      0.19869
KIF12                 9  116848406  116861507      7       3  171360      0.36229      0.35857
COL27A1               9  116917840  117074791      8       4  173005      0.47757      0.31648
AKNA                  9  117096436  117156685      7       4  158155     -0.17259      0.56851
AL138895.1            9  117159004  117160783      1       1  173005      -0.9721       0.8345
WHRN                  9  117164360  117267730      8       2  169288       1.1582      0.12339
TMEM268               9  117373486  117408702      3       2  173005      -1.6196      0.94734
TEX53                 9  117418584  117424654      1       1  173005      -1.3171       0.9061
TNFSF15               9  117546915  117568406      3       2  144645       1.2896     0.098593
TNFSF8                9  117656003  117692697     44      22  143510      0.59285      0.27664
TNC                   9  117782806  117880536     14       7  168756       1.1443      0.12626
AL355601.1            9  118014817  118016530      2       1  173005      0.65759       0.2554
PAPPA                 9  118916083  119164601      1       1  173005       2.3101      0.01044
ASTN2                 9  119187504  120177348      1       1   42455      0.72346       0.2347
AL445644.1            9  120224572  120228538      2       1  130465      0.77763      0.21839
RPL35AP22             9  120447532  120447866      2       1  163570      0.28581      0.38751
AL160272.2            9  120466435  120834592      4       2  151735      0.54888      0.29154
AL354754.1            9  120602600  120659534     27      14  158862       3.1736   0.00075293
BRINP1                9  121915736  122131745      3       2  156801      0.83159      0.20282
TRAF1                 9  123664671  123691451      4       2  155401      0.16102      0.43604
GSN                   9  123970072  124095121      9       5  141846     -0.22178      0.58776
AL513122.2            9  124042141  124045008      2       1  173005     -0.65841      0.74486
STOM                  9  124101355  124132531     12       6  157607     -0.52258      0.69937
GGTA1P                9  124207269  124262306     20      10  151682     -0.10979      0.54371
DAB2IP                9  124329336  124547809     37      20  151226      -0.4016      0.65601
AL596244.1            9  124577953  124581731      1       1  123872      0.88752       0.1874
LHX6                  9  124964856  124991905      1       1  173005       1.1655       0.1219
PTGS1                 9  125132824  125157982      9       6  140673     -0.91708      0.82045
AL359636.2            9  125165686  125401964      1       1  173005      -1.7565       0.9605
ZBTB26                9  125677845  125693779      1       1  173005      0.71663       0.2368
RABGAP1               9  125703112  125867145     13       6  150456    -0.098241      0.53913
CRB2                  9  126118449  126142603     15       7  143645      0.35775      0.36026
DENND1A               9  126141933  126692431      2       1  169328      0.32351      0.37315
LHX2                  9  126763949  126795580      9       6  145811       1.8854     0.029687
AC006450.3            9  126768556  126771675      1       1  173005     -0.30863       0.6212
AC006450.2            9  126793903  126794803      4       2  140368     0.091716      0.46346
NEK6                  9  127019885  127115586     30      11  168528       2.2157     0.013356
ADGRD2                9  127213423  127239379      3       1  173005      0.13606      0.44589
NR6A1                 9  127279554  127533589      6       4  128070      -0.6934      0.75597
OLFML2A               9  127539437  127577164      5       3  150041       1.0165       0.1547
RPL35                 9  127620159  127624260      3       2  144645       1.0888      0.13811
SCAI                  9  127704887  127905785      2       1  107858       2.2845     0.011172
PPP6C                 9  127908852  127952218      2       1  107730       2.3367    0.0097283
RABEPK                9  127962821  127996437      2       1  173005        1.903     0.028521
HSPA5                 9  127997132  128003609      3       1  173005       1.9155     0.027717
GAPVD1                9  128024073  128129486      7       2  173005       1.5543     0.060054
MAPKAP1               9  128199672  128469513      7       4  150078       1.1054       0.1345
PBX3                  9  128509624  128729656      3       1  173005       1.7663     0.038675
AL162391.1            9  129032400  129038197      1       1  173005     -0.37024       0.6444
